,date,DOWNWARD_LONGWAVE_RADIATION
0,1993-01-01,749.26
1,1993-02-01,628.01
2,1993-03-01,745.27
3,1993-04-01,790.25
4,1993-05-01,903.82
5,1993-06-01,989.4300000000001
6,1993-07-01,1065.18
7,1993-08-01,1091.53
8,1993-09-01,1004.21
9,1993-10-01,909.98
10,1993-11-01,813.83
11,1993-12-01,748.33
12,1994-01-01,715.74
13,1994-02-01,619.16
14,1994-03-01,768.96
15,1994-04-01,834.63
16,1994-05-01,948.13
17,1994-06-01,1001.3100000000001
18,1994-07-01,1127.53
19,1994-08-01,1110.6100000000001
20,1994-09-01,1041.06
21,1994-10-01,965.87
22,1994-11-01,750.12
23,1994-12-01,734.45
24,1995-01-01,657.17
25,1995-02-01,634.79
26,1995-03-01,796.49
27,1995-04-01,843.26
28,1995-05-01,952.99
29,1995-06-01,991.5
30,1995-07-01,1103.74
31,1995-08-01,1123.19
32,1995-09-01,995.0400000000001
33,1995-10-01,944.44
34,1995-11-01,753.51
35,1995-12-01,676.04
36,1996-01-01,696.51
37,1996-02-01,656.36
38,1996-03-01,771.51
39,1996-04-01,773.52
40,1996-05-01,894.35
41,1996-06-01,968.78
42,1996-07-01,1063.77
43,1996-08-01,1067.95
44,1996-09-01,957.62
45,1996-10-01,924.82
46,1996-11-01,829.85
47,1996-12-01,736.03
48,1997-01-01,-999.0
49,1997-02-01,-999.0
50,1997-03-01,787.4300000000001
51,1997-04-01,-999.0
52,1997-05-01,-999.0
53,1997-06-01,-999.0
54,1997-07-01,-999.0
55,1997-08-01,-999.0
56,1997-09-01,1013.6700000000001
57,1997-10-01,869.24
58,1997-11-01,-999.0
59,1997-12-01,-999.0
60,1998-01-01,682.25
61,1998-02-01,656.57
62,1998-03-01,764.16
63,1998-04-01,909.51
64,1998-05-01,994.6
65,1998-06-01,-999.0
66,1998-07-01,-999.0
67,1998-08-01,-999.0
68,1998-09-01,-999.0
69,1998-10-01,953.19
70,1998-11-01,769.29
71,1998-12-01,748.77
72,1999-01-01,669.35
73,1999-02-01,603.62
74,1999-03-01,815.7
75,1999-04-01,855.27
76,1999-05-01,933.63
77,1999-06-01,-999.0
78,1999-07-01,1108.31
79,1999-08-01,1126.6000000000001
80,1999-09-01,1066.71
81,1999-10-01,938.28
82,1999-11-01,797.4300000000001
83,1999-12-01,711.23
84,2000-01-01,747.53
85,2000-02-01,631.57
86,2000-03-01,735.38
87,2000-04-01,823.48
88,2000-05-01,955.08
89,2000-06-01,1002.5400000000001
90,2000-07-01,1101.1000000000001
91,2000-08-01,1115.23
92,2000-09-01,1029.57
93,2000-10-01,959.76
94,2000-11-01,850.23
95,2000-12-01,724.13
96,2001-01-01,681.04
97,2001-02-01,651.84
98,2001-03-01,779.4300000000001
99,2001-04-01,825.82
100,2001-05-01,951.9200000000001
101,2001-06-01,1017.58
102,2001-07-01,1104.56
103,2001-08-01,1114.14
104,2001-09-01,1005.8000000000001
105,2001-10-01,928.32
106,2001-11-01,771.23
107,2001-12-01,713.14
108,2002-01-01,703.25
109,2002-02-01,661.74
110,2002-03-01,801.6
111,2002-04-01,855.39
112,2002-05-01,945.47
113,2002-06-01,981.21
114,2002-07-01,1121.33
115,2002-08-01,1101.49
116,2002-09-01,1010.49
117,2002-10-01,922.22
118,2002-11-01,759.9300000000001
119,2002-12-01,746.0500000000001
120,2003-01-01,682.28
121,2003-02-01,658.39
122,2003-03-01,752.74
123,2003-04-01,852.75
124,2003-05-01,950.34
125,2003-06-01,1019.22
126,2003-07-01,1080.01
127,2003-08-01,1111.41
128,2003-09-01,1012.5400000000001
129,2003-10-01,918.62
130,2003-11-01,873.0
131,2003-12-01,739.88
132,2004-01-01,678.66
133,2004-02-01,663.64
134,2004-03-01,782.25
135,2004-04-01,821.0
136,2004-05-01,985.15
137,2004-06-01,998.6
138,2004-07-01,1098.29
139,2004-08-01,1093.49
140,2004-09-01,1035.33
141,2004-10-01,948.69
142,2004-11-01,837.72
143,2004-12-01,766.44
144,2005-01-01,693.03
145,2005-02-01,647.62
146,2005-03-01,761.27
147,2005-04-01,835.41
148,2005-05-01,918.47
149,2005-06-01,1019.1700000000001
150,2005-07-01,1104.83
151,2005-08-01,1123.93
152,2005-09-01,1026.63
153,2005-10-01,983.72
154,2005-11-01,759.34
155,2005-12-01,659.01
156,2006-01-01,693.92
157,2006-02-01,687.24
158,2006-03-01,775.3100000000001
159,2006-04-01,837.66
160,2006-05-01,975.58
161,2006-06-01,1016.28
162,2006-07-01,1124.67
163,2006-08-01,1122.96
164,2006-09-01,1017.39
165,2006-10-01,958.78
166,2006-11-01,828.16
167,2006-12-01,779.74
168,2007-01-01,723.22
169,2007-02-01,659.99
170,2007-03-01,773.2
171,2007-04-01,841.04
172,2007-05-01,923.6800000000001
173,2007-06-01,988.21
174,2007-07-01,1099.92
175,2007-08-01,1122.15
176,2007-09-01,1052.68
177,2007-10-01,949.1700000000001
178,2007-11-01,806.82
179,2007-12-01,746.0600000000001
180,2008-01-01,711.88
181,2008-02-01,635.77
182,2008-03-01,788.71
183,2008-04-01,852.39
184,2008-05-01,956.5600000000001
185,2008-06-01,991.24
186,2008-07-01,1116.17
187,2008-08-01,1129.8
188,2008-09-01,1026.75
189,2008-10-01,945.0
190,2008-11-01,810.79
191,2008-12-01,756.8100000000001
192,2009-01-01,727.67
193,2009-02-01,679.37
194,2009-03-01,790.11
195,2009-04-01,826.28
196,2009-05-01,969.45
197,2009-06-01,1011.27
198,2009-07-01,1116.75
199,2009-08-01,1105.18
200,2009-09-01,986.49
201,2009-10-01,939.01
202,2009-11-01,837.74
203,2009-12-01,751.15
204,2010-01-01,685.82
205,2010-02-01,693.57
206,2010-03-01,820.35
207,2010-04-01,847.75
208,2010-05-01,937.61
209,2010-06-01,1002.1700000000001
210,2010-07-01,1129.83
211,2010-08-01,1140.09
212,2010-09-01,1040.46
213,2010-10-01,976.23
214,2010-11-01,803.84
215,2010-12-01,754.91
216,2011-01-01,650.23
217,2011-02-01,684.07
218,2011-03-01,739.97
219,2011-04-01,813.32
220,2011-05-01,953.16
221,2011-06-01,1019.71
222,2011-07-01,1112.15
223,2011-08-01,1127.8
224,2011-09-01,1022.82
225,2011-10-01,952.45
226,2011-11-01,829.44
227,2011-12-01,719.78
228,2012-01-01,674.94
229,2012-02-01,674.91
230,2012-03-01,793.13
231,2012-04-01,836.89
232,2012-05-01,949.1700000000001
233,2012-06-01,971.78
234,2012-07-01,1104.8500000000001
235,2012-08-01,1106.59
236,2012-09-01,1042.98
237,2012-10-01,939.25
238,2012-11-01,787.7
239,2012-12-01,724.02
240,2013-01-01,672.26
241,2013-02-01,641.19
242,2013-03-01,815.64
243,2013-04-01,821.44
244,2013-05-01,927.75
245,2013-06-01,1006.6800000000001
246,2013-07-01,1102.95
247,2013-08-01,1123.32
248,2013-09-01,1013.08
249,2013-10-01,989.16
250,2013-11-01,774.86
251,2013-12-01,718.1800000000001
252,2014-01-01,685.5500000000001
253,2014-02-01,661.75
254,2014-03-01,773.25
255,2014-04-01,806.41
256,2014-05-01,927.54
257,2014-06-01,1015.24
258,2014-07-01,1102.07
259,2014-08-01,1122.83
260,2014-09-01,984.07
261,2014-10-01,950.9200000000001
262,2014-11-01,840.77
263,2014-12-01,712.98
264,2015-01-01,703.54
265,2015-02-01,652.78
266,2015-03-01,787.3100000000001
267,2015-04-01,864.49
268,2015-05-01,949.77
269,2015-06-01,994.41
270,2015-07-01,1111.32
271,2015-08-01,1129.72
272,2015-09-01,1015.9300000000001
273,2015-10-01,917.91
274,2015-11-01,873.32
275,2015-12-01,775.66
276,2016-01-01,711.47
277,2016-02-01,693.7
278,2016-03-01,808.33
279,2016-04-01,872.39
280,2016-05-01,952.77
281,2016-06-01,1007.64
282,2016-07-01,1103.1000000000001
283,2016-08-01,1126.72
284,2016-09-01,1071.7
285,2016-10-01,961.53
286,2016-11-01,814.34
287,2016-12-01,744.64
288,2017-01-01,675.46
289,2017-02-01,646.03
290,2017-03-01,759.1800000000001
291,2017-04-01,828.95
292,2017-05-01,957.96
293,2017-06-01,974.78
294,2017-07-01,1117.25
295,2017-08-01,1135.58
296,2017-09-01,1007.0400000000001
297,2017-10-01,963.54
298,2017-11-01,788.22
299,2017-12-01,696.8100000000001
300,2018-01-01,666.84
301,2018-02-01,639.44
302,2018-03-01,813.26
303,2018-04-01,867.4
304,2018-05-01,956.5600000000001
305,2018-06-01,1002.44
306,2018-07-01,1127.77
307,2018-08-01,1128.19
308,2018-09-01,1040.1
309,2018-10-01,956.36
310,2018-11-01,838.0
311,2018-12-01,754.8100000000001
312,2019-01-01,665.59
313,2019-02-01,687.65
314,2019-03-01,791.53
315,2019-04-01,816.2
316,2019-05-01,933.98
317,2019-06-01,998.48
318,2019-07-01,1113.17
319,2019-08-01,1140.13
320,2019-09-01,1045.58
321,2019-10-01,997.76
322,2019-11-01,817.8100000000001
323,2019-12-01,796.49
324,2020-01-01,757.91
325,2020-02-01,691.07
326,2020-03-01,810.53
327,2020-04-01,808.26
328,2020-05-01,971.02
329,2020-06-01,1028.25
330,2020-07-01,1122.67
331,2020-08-01,1127.38
332,2020-09-01,1054.83
333,2020-10-01,952.72
334,2020-11-01,819.09
335,2020-12-01,733.27
336,2021-01-01,704.37
337,2021-02-01,630.4
338,2021-03-01,834.71
339,2021-04-01,814.85
340,2021-05-01,974.96
341,2021-06-01,1000.59
342,2021-07-01,1107.1100000000001
343,2021-08-01,1126.83
344,2021-09-01,1007.4
345,2021-10-01,946.08
346,2021-11-01,785.9300000000001
347,2021-12-01,727.86
348,2022-01-01,669.83
349,2022-02-01,610.47
350,2022-03-01,807.5500000000001
351,2022-04-01,871.19
352,2022-05-01,952.58
353,2022-06-01,1005.89
354,2022-07-01,1132.33
355,2022-08-01,1138.64
356,2022-09-01,1048.43
357,2022-10-01,932.25
358,2022-11-01,835.8000000000001
359,2022-12-01,730.08
360,2023-01-01,698.51
361,2023-02-01,655.49
362,2023-03-01,843.54
363,2023-04-01,848.25
